Région,Annee,Month,Date,Day,Eolien_sum(MW),Vitesse_vent_mean(m/s),Solaire_sum(MW),Rayonnement_solaire_mean(W/m2),Consommation-sum(MW),TMin (°C),TMax (°C),TMoy (°C)
Auvergne-Rhône-Alpes,2016,1,1,Friday,921.0,3.27,250.0,62.294285714285714,52608.0,2.96,10.56,6.76
Auvergne-Rhône-Alpes,2016,1,2,Saturday,1192.0,3.3137500000000006,118.0,26.57,62228.0,5.45,8.95,7.2
Auvergne-Rhône-Alpes,2016,1,3,Sunday,1072.0,3.42,188.0,47.06,63640.0,2.24,7.93,5.08
Auvergne-Rhône-Alpes,2016,1,4,Monday,1217.0,3.3187500000000005,193.0,47.481249999999996,72415.0,4.81,9.53,7.17
Auvergne-Rhône-Alpes,2016,1,5,Tuesday,1047.0,3.05625,360.0,62.23375,74221.0,4.0,10.02,7.01
Auvergne-Rhône-Alpes,2016,1,6,Wednesday,1165.0,3.17,182.0,39.325,77069.0,2.52,7.78,5.15
Auvergne-Rhône-Alpes,2016,1,7,Thursday,1490.0,3.1924999999999994,119.0,12.535,77565.0,3.12,10.55,6.84
Auvergne-Rhône-Alpes,2016,1,8,Friday,1064.0,3.4787500000000002,111.0,36.3725,74102.0,4.49,12.21,8.35
Auvergne-Rhône-Alpes,2016,1,9,Saturday,614.0,3.76375,172.0,28.23375,65153.0,6.95,11.22,9.09
Auvergne-Rhône-Alpes,2016,1,10,Sunday,1496.0,4.0925,115.0,24.53125,63315.0,6.06,11.11,8.59
Auvergne-Rhône-Alpes,2016,1,11,Monday,2028.0,3.9549999999999996,247.0,48.17,71748.0,5.6,11.15,8.38
Auvergne-Rhône-Alpes,2016,1,12,Tuesday,1446.0,3.9800000000000004,194.0,51.307500000000005,75866.0,3.87,8.14,6.0
Auvergne-Rhône-Alpes,2016,1,13,Wednesday,744.0,3.8375000000000004,389.0,67.26875,78476.0,0.35,7.37,3.86
Auvergne-Rhône-Alpes,2016,1,14,Thursday,909.0,3.89125,103.0,18.4075,82462.0,-1.47,5.05,1.79
Auvergne-Rhône-Alpes,2016,1,15,Friday,1156.0,3.8812500000000005,414.0,77.24125000000001,81057.0,-0.63,4.96,2.17
Auvergne-Rhône-Alpes,2016,1,16,Saturday,1601.0,3.6462499999999993,203.0,57.07125,77465.0,-1.35,2.3,0.47
Auvergne-Rhône-Alpes,2016,1,17,Sunday,765.0,2.9125000000000005,305.0,64.05,75379.0,-1.69,2.45,0.38
Auvergne-Rhône-Alpes,2016,1,18,Monday,721.0,2.39125,90.0,41.22,87182.0,-4.26,2.09,-1.09
Auvergne-Rhône-Alpes,2016,1,19,Tuesday,479.0,2.1799999999999997,155.0,52.015,85469.0,-0.34,5.99,2.83
Auvergne-Rhône-Alpes,2016,1,20,Wednesday,131.0,1.8624999999999998,246.0,44.035,82222.0,2.18,6.35,4.27
Auvergne-Rhône-Alpes,2016,1,21,Thursday,269.0,2.0725,432.0,76.15875,82107.0,0.02,5.15,2.58
Auvergne-Rhône-Alpes,2016,1,22,Friday,693.0,1.9425,422.0,72.705,82838.0,-3.5,9.05,2.77
Auvergne-Rhône-Alpes,2016,1,23,Saturday,545.0,2.10625,463.0,58.03125,70940.0,3.65,10.24,6.95
Auvergne-Rhône-Alpes,2016,1,24,Sunday,117.0,1.9912500000000002,714.0,91.27375,68732.0,-1.13,12.1,5.49
